,Suit1,Card1,Suit2,Card2,Suit3,Card3,Suit4,Card4,Suit5,Card5
1918,Hearts,Five,Spades,Six,Diamonds,Jack,Hearts,Jack,Clubs,King
1919,Hearts,Ace,Hearts,Three,Diamonds,Eight,Diamonds,Five,Spades,Eight
1920,Clubs,Four,Spades,Three,Hearts,Ace,Hearts,Queen,Clubs,Ace
1921,Clubs,Ace,Hearts,Ace,Diamonds,Two,Diamonds,Seven,Diamonds,King
1922,Clubs,Three,Hearts,Four,Spades,Jack,Diamonds,Six,Hearts,Eight
1923,Hearts,Nine,Diamonds,Ten,Hearts,Ten,Clubs,Ace,Clubs,Seven
1924,Spades,Jack,Clubs,Eight,Spades,Three,Diamonds,Nine,Clubs,Jack
1925,Clubs,Jack,Diamonds,Ace,Clubs,Three,Clubs,Four,Clubs,Nine
1926,Hearts,King,Clubs,Four,Hearts,Ace,Clubs,Queen,Hearts,Jack
1927,Spades,King,Spades,Ten,Hearts,Nine,Diamonds,Ace,Diamonds,Eight
1928,Hearts,Jack,Diamonds,King,Clubs,King,Diamonds,Six,Clubs,Four
1929,Clubs,Two,Spades,Ten,Clubs,Queen,Clubs,King,Diamonds,Nine
1930,Diamonds,Eight,Hearts,Ace,Spades,King,Spades,Eight,Hearts,Eight
1931,Diamonds,King,Spades,Nine,Spades,Queen,Spades,Jack,Spades,King
1932,Hearts,Four,Hearts,Nine,Spades,King,Diamonds,Nine,Clubs,Five
1933,Spades,Two,Clubs,Seven,Clubs,Nine,Clubs,Eight,Diamonds,Two
1934,Hearts,Jack,Diamonds,Four,Spades,Four,Diamonds,Ten,Clubs,Two
1935,Diamonds,Seven,Spades,Eight,Diamonds,Ten,Spades,Jack,Clubs,Ace
1936,Clubs,Nine,Hearts,Two,Spades,Three,Diamonds,Ten,Clubs,Three
1937,Spades,Queen,Hearts,Two,Spades,Three,Spades,Two,Diamonds,Seven
1938,Spades,Nine,Spades,Three,Clubs,Eight,Hearts,Six,Hearts,Two
1939,Diamonds,Queen,Clubs,King,Spades,Four,Hearts,Four,Diamonds,Five
1940,Hearts,Two,Diamonds,Ace,Diamonds,Two,Diamonds,Six,Diamonds,Five
1941,Clubs,King,Clubs,Two,Hearts,Queen,Hearts,Two,Hearts,Ace
1942,Spades,Seven,Spades,Three,Hearts,Eight,Spades,Six,Spades,Ace
1943,Spades,Ace,Spades,King,Hearts,Six,Hearts,Jack,Hearts,Three
1944,Diamonds,Ace,Diamonds,Two,Hearts,Ten,Spades,Ace,Clubs,Six
1945,Spades,Eight,Spades,Ten,Clubs,Ten,Hearts,Six,Spades,King
1946,Clubs,Queen,Hearts,King,Hearts,Four,Spades,King,Spades,Nine
1947,Clubs,Queen,Spades,Jack,Diamonds,Three,Clubs,Jack,Hearts,Three
1948,Clubs,Queen,Spades,Two,Clubs,Ten,Diamonds,Two,Hearts,Queen
1949,Hearts,Eight,Spades,Eight,Diamonds,Jack,Clubs,King,Hearts,Nine
1950,Spades,Ten,Clubs,Four,Hearts,Four,Diamonds,Nine,Diamonds,Jack
1951,Diamonds,Queen,Clubs,Seven,Spades,Seven,Diamonds,Jack,Hearts,Eight
1952,Clubs,Ace,Spades,Five,Clubs,Jack,Hearts,Ace,Diamonds,Queen
1953,Diamonds,Nine,Diamonds,Three,Clubs,Queen,Spades,Five,Spades,Seven
1954,Spades,Three,Spades,Six,Clubs,Eight,Diamonds,King,Diamonds,Seven
1955,Spades,Nine,Diamonds,King,Hearts,Jack,Diamonds,Three,Spades,Eight
1956,Hearts,King,Hearts,Nine,Spades,Two,Spades,Seven,Clubs,Four
1957,Diamonds,King,Hearts,Four,Diamonds,Ten,Spades,Six,Spades,Ace
1958,Diamonds,King,Spades,Four,Spades,Six,Clubs,Five,Diamonds,Ace
1959,Diamonds,Six,Hearts,Five,Hearts,Three,Spades,Three,Clubs,Nine
1960,Diamonds,Three,Clubs,Eight,Clubs,Jack,Clubs,Ace,Clubs,Three
1961,Spades,Jack,Diamonds,Two,Clubs,Five,Clubs,Queen,Diamonds,Six
1962,Clubs,Five,Spades,Eight,Diamonds,Ace,Diamonds,Three,Clubs,Two
1963,Spades,Queen,Spades,Ten,Clubs,Ace,Diamonds,Two,Diamonds,Eight
1964,Hearts,Four,Clubs,Jack,Clubs,Six,Spades,Ten,Spades,Ace
1965,Hearts,Seven,Spades,Four,Spades,Five,Diamonds,Nine,Spades,Eight
1966,Diamonds,Ace,Hearts,Nine,Spades,Ace,Diamonds,Ten,Spades,Two
1967,Diamonds,Ten,Spades,Two,Hearts,Queen,Spades,Seven,Clubs,Four
1968,Spades,Three,Diamonds,Eight,Diamonds,Three,Hearts,Ten,Diamonds,Ace
1969,Spades,Eight,Clubs,Four,Hearts,Six,Diamonds,Ten,Clubs,King
1970,Spades,King,Diamonds,Five,Hearts,Ten,Hearts,Eight,Hearts,King
1971,Spades,Jack,Clubs,Ace,Diamonds,King,Hearts,Ten,Clubs,Eight
1972,Spades,Two,Hearts,Ten,Clubs,Eight,Hearts,Four,Diamonds,Five
1973,Diamonds,Ten,Diamonds,Jack,Clubs,Two,Hearts,Seven,Diamonds,Nine
1974,Diamonds,Five,Spades,Four,Clubs,Ten,Clubs,Jack,Hearts,Two
1975,Clubs,Five,Spades,Four,Diamonds,Ten,Clubs,Three,Hearts,Five
1976,Hearts,Three,Clubs,King,Diamonds,Two,Hearts,Six,Spades,Three
1977,Spades,Nine,Diamonds,Two,Spades,Ten,Clubs,Queen,Spades,Seven
1978,Hearts,Six,Diamonds,Nine,Spades,Six,Clubs,Five,Diamonds,Jack
1979,Hearts,Five,Diamonds,Three,Hearts,Six,Clubs,Jack,Spades,Ten
1980,Diamonds,Eight,Hearts,King,Spades,Ace,Spades,Jack,Clubs,Jack
1981,Spades,Ten,Clubs,Six,Clubs,Eight,Spades,Queen,Hearts,Seven
1982,Clubs,Six,Spades,Eight,Hearts,Ace,Diamonds,Seven,Spades,Six
1983,Spades,Ace,Spades,Five,Clubs,King,Hearts,Nine,Spades,Ten
1984,Clubs,King,Hearts,Nine,Hearts,Queen,Spades,King,Diamonds,Three
1985,Spades,Seven,Clubs,Seven,Diamonds,Six,Hearts,Three,Spades,Nine
1986,Clubs,Ace,Spades,Jack,Diamonds,Two,Hearts,Three,Hearts,Six
1987,Hearts,King,Spades,Nine,Spades,Ace,Clubs,Ace,Diamonds,Ace
1988,Clubs,Nine,Hearts,Jack,Diamonds,Queen,Clubs,Queen,Clubs,Jack
1989,Hearts,Ace,Clubs,Six,Diamonds,Jack,Diamonds,King,Clubs,Jack
1990,Hearts,King,Spades,King,Clubs,Three,Spades,Six,Clubs,Four
1991,Diamonds,Jack,Clubs,Jack,Diamonds,King,Clubs,King,Hearts,Seven
1992,Clubs,Jack,Spades,Seven,Hearts,Seven,Spades,Two,Clubs,Seven
1993,Hearts,Four,Spades,King,Clubs,Four,Hearts,Queen,Clubs,Eight
1994,Diamonds,Four,Spades,Ace,Clubs,Nine,Hearts,Jack,Clubs,Six
1995,Clubs,Two,Hearts,Ten,Diamonds,Two,Hearts,Three,Diamonds,Five
1996,Spades,Five,Hearts,Eight,Spades,Ten,Clubs,Three,Spades,Ace
1997,Diamonds,Three,Spades,Three,Hearts,King,Hearts,Eight,Diamonds,Six
1998,Spades,Five,Hearts,Ten,Clubs,King,Hearts,Five,Hearts,Eight
1999,Clubs,Two,Hearts,Jack,Hearts,Two,Spades,Queen,Spades,Five
2000,Hearts,Queen,Hearts,Three,Spades,Seven,Spades,Nine,Hearts,King
2001,Hearts,Ten,Spades,Five,Clubs,Seven,Clubs,Six,Clubs,Nine
2002,Hearts,Eight,Diamonds,Two,Spades,Four,Hearts,Queen,Hearts,Three
2003,Spades,Jack,Hearts,Ten,Diamonds,Nine,Spades,Five,Diamonds,Four
2004,Hearts,Three,Spades,Six,Clubs,Two,Spades,Ace,Clubs,Ace
2005,Clubs,Four,Hearts,Five,Spades,Ten,Spades,Eight,Spades,King
2006,Diamonds,Jack,Clubs,Nine,Hearts,Nine,Clubs,Two,Spades,Ace
2007,Diamonds,Three,Clubs,King,Clubs,Jack,Clubs,Three,Spades,Ace
2008,Hearts,Five,Hearts,Six,Spades,King,Clubs,Four,Spades,Ace
2009,Diamonds,Three,Hearts,Ten,Diamonds,Jack,Spades,Ace,Clubs,Four
2010,Diamonds,Eight,Diamonds,Five,Clubs,King,Hearts,King,Clubs,Seven
2011,Clubs,Jack,Clubs,Six,Hearts,Ten,Spades,Six,Hearts,Jack
2012,Clubs,Two,Diamonds,Ten,Diamonds,Four,Clubs,Three,Diamonds,Nine
2013,Spades,Nine,Diamonds,Eight,Hearts,Ace,Clubs,Ace,Hearts,Jack
2014,Clubs,Two,Hearts,Six,Clubs,Seven,Spades,Four,Diamonds,Two
2015,Hearts,Seven,Hearts,Queen,Spades,Seven,Diamonds,Two,Diamonds,Queen
2016,Hearts,Five,Spades,Queen,Hearts,Ten,Clubs,Seven,Diamonds,King
2017,Spades,Five,Clubs,Eight,Clubs,Six,Diamonds,Jack,Hearts,Five
2018,Diamonds,Four,Diamonds,Six,Hearts,Five,Clubs,Ace,Hearts,Seven
2019,Hearts,Ten,Spades,Eight,Diamonds,Ace,Clubs,King,Diamonds,Three
2020,Spades,Jack,Spades,Ace,Hearts,Queen,Spades,Queen,Hearts,Four
2021,Hearts,Eight,Clubs,King,Clubs,Two,Diamonds,Four,Diamonds,Three
2022,Spades,Five,Diamonds,King,Hearts,Eight,Spades,Seven,Clubs,Jack
2023,Spades,Eight,Spades,Ten,Spades,Six,Diamonds,Nine,Diamonds,Seven
2024,Diamonds,Jack,Diamonds,Queen,Spades,Nine,Diamonds,Eight,Spades,Ten
2025,Diamonds,Two,Clubs,Ten,Spades,Five,Diamonds,Nine,Clubs,Seven
2026,Clubs,Queen,Spades,Nine,Spades,Jack,Spades,Five,Clubs,Six
2027,Spades,Ten,Diamonds,Five,Spades,Six,Diamonds,Ten,Diamonds,Four
2028,Hearts,Queen,Clubs,King,Diamonds,Nine,Hearts,Four,Clubs,Eight
2029,Spades,King,Hearts,King,Clubs,Ace,Diamonds,Seven,Clubs,Ten
2030,Diamonds,Ten,Clubs,Six,Hearts,Four,Spades,King,Clubs,Five
2031,Clubs,Jack,Spades,Seven,Diamonds,Eight,Spades,Six,Diamonds,Six
2032,Clubs,Nine,Diamonds,King,Spades,Six,Spades,Queen,Diamonds,Ace
2033,Spades,Nine,Hearts,Three,Spades,Three,Hearts,Four,Hearts,Six
2034,Diamonds,Two,Clubs,Six,Spades,Six,Hearts,Seven,Hearts,Nine
2035,Hearts,Two,Diamonds,Nine,Hearts,Nine,Spades,Jack,Hearts,Four
2036,Spades,Two,Spades,Seven,Hearts,Jack,Spades,Four,Clubs,King
2037,Hearts,Nine,Clubs,Seven,Diamonds,Six,Clubs,Four,Diamonds,Three
2038,Spades,Nine,Spades,Two,Spades,Ten,Diamonds,Four,Hearts,Eight
2039,Hearts,Four,Clubs,Three,Hearts,Queen,Clubs,Four,Hearts,Jack
2040,Hearts,Seven,Diamonds,Nine,Diamonds,Queen,Spades,Jack,Diamonds,Ten
2041,Spades,Three,Hearts,Five,Clubs,Ten,Diamonds,Eight,Clubs,Eight
2042,Hearts,Three,Clubs,Seven,Clubs,Two,Clubs,Four,Hearts,Four
2043,Diamonds,Nine,Diamonds,Three,Clubs,Ace,Diamonds,Jack,Hearts,Jack
2044,Hearts,Nine,Spades,Queen,Diamonds,Ten,Diamonds,Queen,Spades,Four
2045,Clubs,Nine,Spades,Jack,Hearts,Six,Clubs,Seven,Spades,Ace
2046,Clubs,Three,Spades,Seven,Spades,Five,Diamonds,King,Spades,Queen
2047,Clubs,Four,Hearts,Nine,Diamonds,Six,Spades,Nine,Hearts,Eight
2048,Clubs,Jack,Diamonds,Five,Clubs,Two,Spades,Eight,Clubs,Eight
2049,Hearts,King,Diamonds,Jack,Diamonds,Ten,Clubs,Ace,Diamonds,Ace
2050,Diamonds,Jack,Clubs,Queen,Hearts,Seven,Spades,Five,Spades,Jack
2051,Spades,Two,Clubs,Ace,Clubs,Nine,Diamonds,Two,Hearts,Ace
2052,Clubs,Two,Clubs,Seven,Spades,Four,Hearts,Eight,Hearts,Nine
2053,Spades,Three,Spades,Ace,Clubs,Six,Spades,Five,Clubs,Ten
2054,Clubs,Three,Hearts,Six,Diamonds,Nine,Spades,Eight,Diamonds,Ace
2055,Spades,Five,Clubs,Four,Spades,Ace,Spades,Four,Hearts,Nine
2056,Spades,Jack,Hearts,Six,Spades,Eight,Diamonds,Six,Clubs,Seven
2057,Clubs,Queen,Diamonds,Eight,Spades,Eight,Diamonds,Ten,Clubs,Two
2058,Clubs,Six,Diamonds,Jack,Clubs,Four,Hearts,Eight,Spades,Nine
2059,Clubs,Ace,Clubs,Eight,Diamonds,Ace,Diamonds,Ten,Hearts,Ace
2060,Clubs,Queen,Clubs,Nine,Spades,Ten,Hearts,Queen,Diamonds,Queen
2061,Diamonds,Nine,Hearts,Queen,Clubs,Eight,Hearts,Seven,Spades,Ten
2062,Diamonds,Queen,Clubs,Jack,Spades,Ten,Spades,Three,Spades,Nine
2063,Hearts,King,Clubs,Jack,Clubs,Seven,Clubs,Nine,Diamonds,Three
2064,Hearts,Ace,Hearts,Six,Clubs,Jack,Diamonds,Queen,Clubs,Five
2065,Clubs,Ten,Diamonds,Ten,Diamonds,Four,Clubs,Three,Clubs,Nine
2066,Diamonds,Ace,Spades,Three,Spades,Ten,Hearts,Three,Spades,Six
2067,Clubs,King,Clubs,Queen,Hearts,Seven,Hearts,Five,Clubs,Two
2068,Clubs,Five,Clubs,Queen,Spades,Six,Clubs,Four,Spades,Jack
2069,Spades,Three,Diamonds,Ten,Diamonds,King,Spades,Seven,Spades,Ten
2070,Diamonds,Two,Hearts,Queen,Diamonds,Four,Diamonds,Nine,Diamonds,Seven
2071,Hearts,Three,Hearts,Ace,Clubs,Nine,Spades,Jack,Clubs,Queen
2072,Hearts,Two,Spades,Four,Diamonds,Seven,Hearts,King,Spades,Seven
2073,Spades,King,Hearts,Three,Clubs,Six,Hearts,Ten,Clubs,Ace
2074,Spades,Jack,Spades,Six,Spades,Four,Clubs,Nine,Spades,Nine
2075,Clubs,Ace,Hearts,Seven,Spades,King,Hearts,Five,Spades,Five
2076,Diamonds,Ace,Diamonds,Queen,Spades,Four,Clubs,Eight,Hearts,Ace
2077,Diamonds,Five,Diamonds,Queen,Hearts,Queen,Clubs,Jack,Spades,Queen
2078,Diamonds,Seven,Spades,Three,Diamonds,Ten,Diamonds,Jack,Hearts,Four
2079,Clubs,Eight,Clubs,Three,Spades,Ace,Clubs,Two,Spades,Seven
2080,Clubs,King,Clubs,Three,Diamonds,Queen,Spades,Seven,Spades,Nine
2081,Hearts,Six,Diamonds,Five,Diamonds,Four,Clubs,Nine,Diamonds,Three
2082,Clubs,Five,Clubs,Seven,Hearts,Seven,Diamonds,Six,Clubs,Jack
2083,Hearts,Seven,Clubs,King,Spades,Four,Spades,Five,Spades,Eight
2084,Diamonds,Ten,Clubs,Seven,Clubs,Five,Hearts,Two,Diamonds,Seven
2085,Spades,Nine,Hearts,Six,Clubs,Six,Spades,Four,Hearts,Ten
2086,Spades,King,Hearts,Eight,Clubs,Queen,Clubs,Four,Diamonds,Eight
2087,Hearts,Queen,Spades,Five,Hearts,Eight,Spades,Seven,Spades,Two
2088,Spades,Ace,Diamonds,Four,Hearts,Jack,Diamonds,Jack,Spades,Ten
2089,Clubs,Six,Diamonds,Three,Spades,Jack,Hearts,Three,Diamonds,Ace
2090,Diamonds,Eight,Hearts,Three,Diamonds,Six,Hearts,Six,Spades,Seven
2091,Diamonds,Six,Clubs,Seven,Hearts,Eight,Hearts,Six,Hearts,Queen
2092,Diamonds,King,Clubs,Two,Diamonds,Nine,Diamonds,Ten,Diamonds,Five
2093,Diamonds,Six,Clubs,Jack,Diamonds,Queen,Diamonds,Eight,Spades,Seven
2094,Clubs,Ace,Clubs,Two,Spades,King,Diamonds,Ten,Diamonds,Six
2095,Diamonds,Jack,Clubs,King,Clubs,Four,Hearts,Four,Diamonds,Three
2096,Diamonds,Five,Hearts,Six,Hearts,Four,Spades,Jack,Diamonds,Six
2097,Clubs,Eight,Hearts,Five,Spades,King,Hearts,Eight,Clubs,Ace
2098,Diamonds,Five,Diamonds,Eight,Spades,Eight,Spades,Seven,Diamonds,Six
2099,Diamonds,Ten,Spades,Four,Spades,Ace,Diamonds,Four,Spades,Six
2100,Spades,Queen,Hearts,Five,Diamonds,Eight,Hearts,Eight,Clubs,Seven
2101,Diamonds,Two,Clubs,Ace,Spades,Two,Clubs,Seven,Clubs,Four
2102,Hearts,Two,Hearts,Four,Clubs,Jack,Spades,Eight,Hearts,Eight
2103,Hearts,Ten,Clubs,Two,Clubs,Six,Diamonds,Six,Spades,Ace
2104,Hearts,Five,Spades,Queen,Hearts,King,Spades,Four,Hearts,Ace
2105,Hearts,Ten,Hearts,Five,Clubs,Ace,Spades,Seven,Hearts,Queen
2106,Diamonds,Seven,Clubs,Queen,Hearts,Nine,Hearts,Six,Spades,Five
2107,Spades,Six,Diamonds,Ace,Clubs,Eight,Spades,Four,Spades,Nine
2108,Spades,Nine,Clubs,Five,Diamonds,Six,Diamonds,Three,Spades,Six
2109,Clubs,Four,Spades,Ten,Diamonds,Ace,Clubs,Seven,Spades,Two
2110,Hearts,Ten,Spades,Ten,Spades,Five,Diamonds,Jack,Clubs,Nine
2111,Clubs,Ten,Diamonds,Eight,Hearts,Three,Diamonds,Nine,Diamonds,Three
2112,Clubs,Nine,Hearts,Four,Spades,Seven,Hearts,Seven,Diamonds,Seven
2113,Hearts,Jack,Clubs,Nine,Diamonds,Two,Spades,Ten,Clubs,Seven
2114,Spades,Three,Diamonds,Three,Spades,King,Diamonds,Ten,Diamonds,Nine
2115,Clubs,Five,Hearts,Two,Spades,Ace,Clubs,Nine,Hearts,Nine
2116,Clubs,Eight,Spades,Six,Diamonds,Nine,Diamonds,Three,Spades,Seven
2117,Hearts,Queen,Diamonds,Seven,Clubs,Two,Clubs,Eight,Diamonds,Nine
2118,Diamonds,Ace,Clubs,Eight,Hearts,Six,Clubs,Two,Hearts,King
2119,Diamonds,King,Hearts,Three,Clubs,Eight,Hearts,Seven,Diamonds,Queen
2120,Diamonds,Eight,Clubs,Eight,Diamonds,Queen,Diamonds,Ten,Spades,Ace
2121,Clubs,Eight,Diamonds,Jack,Diamonds,Three,Clubs,Jack,Diamonds,King
2122,Spades,King,Spades,Six,Spades,Three,Clubs,Jack,Diamonds,Seven
2123,Spades,Four,Diamonds,Nine,Hearts,Five,Diamonds,Ace,Diamonds,Five
2124,Diamonds,Six,Diamonds,Two,Spades,Jack,Spades,Nine,Clubs,Ten
2125,Diamonds,Six,Clubs,Three,Spades,Eight,Hearts,Five,Spades,Jack
2126,Spades,Three,Hearts,Seven,Clubs,Queen,Diamonds,Six,Clubs,Five
2127,Spades,Nine,Spades,Queen,Clubs,Eight,Clubs,Seven,Diamonds,Three
2128,Hearts,Six,Diamonds,Jack,Spades,Seven,Clubs,Jack,Clubs,Queen
2129,Diamonds,Queen,Hearts,Jack,Spades,Four,Spades,Jack,Diamonds,Five
2130,Clubs,Seven,Diamonds,Eight,Hearts,Nine,Clubs,Eight,Hearts,Two
2131,Hearts,Ace,Spades,Four,Hearts,Three,Clubs,Ace,Hearts,Jack
2132,Clubs,Six,Clubs,King,Spades,Jack,Clubs,Four,Hearts,Ten
2133,Clubs,Queen,Hearts,Three,Clubs,Ace,Hearts,Ace,Clubs,Two
2134,Hearts,Three,Diamonds,Five,Spades,Six,Diamonds,King,Clubs,Five
2135,Hearts,Queen,Hearts,Seven,Hearts,Nine,Spades,Seven,Spades,Two
2136,Clubs,Jack,Spades,Three,Hearts,Queen,Clubs,Six,Spades,Two
2137,Clubs,Ace,Spades,Five,Spades,Seven,Hearts,Three,Clubs,Five
2138,Hearts,Ace,Diamonds,Eight,Clubs,Two,Spades,Four,Spades,Seven
2139,Hearts,Six,Clubs,King,Hearts,Queen,Clubs,Seven,Spades,Seven
2140,Spades,Nine,Diamonds,Two,Diamonds,Nine,Spades,Jack,Spades,Queen
2141,Clubs,Two,Spades,Five,Hearts,Four,Spades,Queen,Spades,King
2142,Diamonds,Ace,Clubs,Four,Spades,Five,Hearts,Seven,Hearts,Ten
2143,Diamonds,Three,Hearts,Seven,Clubs,Queen,Hearts,Jack,Spades,Nine
2144,Clubs,Nine,Hearts,Six,Diamonds,Six,Clubs,Eight,Diamonds,Jack
2145,Hearts,Five,Spades,Three,Hearts,Seven,Clubs,Ten,Clubs,Five
2146,Hearts,Four,Spades,Five,Diamonds,Two,Clubs,Four,Clubs,Five
2147,Hearts,Three,Hearts,Nine,Hearts,Four,Diamonds,Three,Clubs,Eight
2148,Hearts,Two,Diamonds,King,Clubs,Eight,Diamonds,Queen,Diamonds,Five
2149,Hearts,Queen,Diamonds,Ace,Diamonds,Eight,Hearts,Jack,Hearts,Six
2150,Hearts,Four,Clubs,King,Spades,King,Hearts,Jack,Clubs,Ace
2151,Diamonds,Nine,Clubs,King,Diamonds,Queen,Hearts,King,Hearts,Six
2152,Spades,Queen,Diamonds,Ten,Spades,Jack,Spades,Three,Diamonds,Four
2153,Hearts,Six,Spades,Six,Spades,Ace,Clubs,Queen,Hearts,Two
2154,Hearts,Eight,Diamonds,Four,Spades,Five,Clubs,Ace,Spades,Three
2155,Clubs,Four,Diamonds,Queen,Hearts,Ace,Hearts,Nine,Diamonds,Two
2156,Diamonds,Three,Diamonds,Five,Hearts,Three,Clubs,King,Spades,Five
2157,Diamonds,Queen,Clubs,Two,Hearts,Five,Hearts,King,Spades,Jack
2158,Clubs,Nine,Spades,Eight,Hearts,Three,Clubs,Two,Hearts,Five
2159,Diamonds,Two,Hearts,Ten,Diamonds,Queen,Diamonds,Nine,Clubs,King
2160,Spades,Nine,Diamonds,Two,Hearts,Eight,Diamonds,Six,Hearts,King
2161,Hearts,Five,Hearts,King,Clubs,Six,Diamonds,Three,Hearts,Jack
2162,Hearts,Jack,Hearts,Queen,Spades,Queen,Diamonds,Three,Clubs,Ten
2163,Spades,Six,Clubs,Ten,Diamonds,Five,Hearts,Jack,Clubs,Seven
2164,Diamonds,Four,Hearts,Ten,Diamonds,Five,Spades,Three,Clubs,Ten
2165,Diamonds,Two,Hearts,Five,Diamonds,King,Spades,Queen,Diamonds,Eight
2166,Clubs,Eight,Hearts,Ten,Clubs,Seven,Diamonds,Two,Diamonds,Six
2167,Clubs,Nine,Hearts,Four,Hearts,Seven,Clubs,Two,Diamonds,Eight
2168,Clubs,Ace,Clubs,Four,Clubs,Ten,Hearts,Eight,Diamonds,Nine
2169,Clubs,Seven,Hearts,Seven,Hearts,Four,Diamonds,Four,Hearts,Two
2170,Diamonds,Jack,Spades,Four,Spades,Queen,Diamonds,King,Hearts,Jack
2171,Hearts,Nine,Spades,Six,Diamonds,Two,Clubs,Five,Hearts,Seven
2172,Clubs,Ten,Clubs,Ace,Clubs,Two,Clubs,Five,Diamonds,Eight
2173,Spades,Ten,Clubs,Two,Hearts,Five,Diamonds,Ace,Hearts,Ace
2174,Clubs,Four,Hearts,Six,Hearts,Three,Hearts,Eight,Diamonds,King
2175,Spades,Nine,Diamonds,Ace,Spades,Five,Clubs,Ace,Hearts,Six
2176,Diamonds,Two,Spades,Queen,Hearts,Five,Hearts,Ten,Clubs,Eight
2177,Diamonds,Seven,Spades,Ten,Spades,Six,Spades,Seven,Diamonds,King
2178,Clubs,Two,Diamonds,Two,Spades,Eight,Diamonds,Ten,Diamonds,King
2179,Clubs,Queen,Hearts,Three,Clubs,Four,Hearts,Five,Hearts,Nine
2180,Diamonds,Seven,Diamonds,Ten,Clubs,Ace,Hearts,Five,Hearts,Ace
2181,Diamonds,Ten,Hearts,Ten,Diamonds,Ace,Spades,Eight,Spades,Queen
2182,Diamonds,Ace,Diamonds,Three,Hearts,Ace,Diamonds,King,Spades,Six
2183,Clubs,Ace,Hearts,Four,Hearts,Jack,Diamonds,Three,Spades,Five
2184,Hearts,Three,Spades,Three,Diamonds,Six,Spades,Four,Hearts,Ten
2185,Clubs,Two,Clubs,Six,Diamonds,Five,Hearts,Four,Diamonds,Seven
2186,Hearts,Two,Diamonds,Nine,Clubs,King,Clubs,Four,Diamonds,Ten
2187,Diamonds,Four,Hearts,Five,Spades,Five,Clubs,King,Diamonds,Three
2188,Spades,Nine,Diamonds,Two,Clubs,Four,Spades,Five,Hearts,Two
2189,Clubs,Three,Diamonds,Six,Clubs,Nine,Diamonds,King,Spades,Queen
2190,Spades,Ten,Spades,Queen,Spades,Two,Clubs,Ace,Hearts,Three
2191,Hearts,Queen,Clubs,Jack,Hearts,King,Clubs,Three,Clubs,Five
2192,Clubs,Two,Clubs,King,Spades,Five,Diamonds,Queen,Spades,Jack
2193,Clubs,King,Spades,Eight,Spades,Jack,Diamonds,Eight,Hearts,Jack
2194,Hearts,Three,Hearts,Nine,Clubs,Nine,Diamonds,Four,Diamonds,Queen
2195,Diamonds,Jack,Diamonds,Five,Hearts,Ace,Hearts,Ten,Hearts,Three
2196,Hearts,Four,Diamonds,Ace,Clubs,Ace,Spades,Two,Clubs,Ten
2197,Clubs,Six,Hearts,Seven,Diamonds,Jack,Clubs,Four,Clubs,King
2198,Hearts,Two,Clubs,Two,Hearts,Seven,Spades,Eight,Clubs,Ten
2199,Hearts,Three,Spades,Jack,Spades,Ten,Spades,Four,Clubs,Ace
2200,Clubs,Queen,Diamonds,Queen,Spades,Five,Spades,Jack,Diamonds,Jack
2201,Spades,Ten,Clubs,Ten,Diamonds,Ten,Diamonds,Four,Clubs,Queen
2202,Spades,Queen,Hearts,Ace,Diamonds,Four,Clubs,Five,Diamonds,Jack
2203,Spades,Ace,Diamonds,Jack,Diamonds,Seven,Clubs,Nine,Diamonds,Ten
2204,Spades,Three,Clubs,Four,Diamonds,Ace,Diamonds,Three,Clubs,Eight
2205,Diamonds,Three,Clubs,Three,Diamonds,King,Diamonds,Five,Hearts,Nine
2206,Spades,Queen,Spades,King,Spades,Ace,Diamonds,Five,Hearts,Seven
2207,Hearts,Eight,Hearts,Two,Clubs,Ace,Clubs,Four,Spades,Jack
2208,Clubs,Two,Diamonds,Two,Hearts,Six,Spades,Two,Hearts,Seven
2209,Clubs,Nine,Hearts,Jack,Clubs,Jack,Hearts,King,Spades,Ten
2210,Diamonds,Jack,Diamonds,Five,Spades,Ace,Hearts,Ten,Clubs,Queen
2211,Spades,Three,Clubs,Seven,Diamonds,Ace,Hearts,Five,Diamonds,Three
2212,Hearts,Five,Hearts,Seven,Diamonds,Nine,Diamonds,Queen,Diamonds,Six
2213,Diamonds,Nine,Diamonds,King,Spades,Ten,Spades,Nine,Clubs,Queen
2214,Spades,Eight,Hearts,Jack,Clubs,Eight,Clubs,Nine,Clubs,Five
2215,Clubs,Five,Hearts,Six,Hearts,Ace,Clubs,Six,Clubs,Nine
2216,Hearts,Five,Clubs,Six,Clubs,Nine,Spades,Nine,Hearts,Four
2217,Spades,Jack,Clubs,Two,Spades,Ace,Diamonds,Jack,Diamonds,Four
2218,Hearts,Jack,Diamonds,Eight,Spades,Queen,Clubs,Four,Hearts,Queen
2219,Spades,King,Hearts,Two,Spades,Four,Diamonds,Eight,Hearts,Six
2220,Hearts,Ace,Spades,Ace,Spades,Six,Hearts,Eight,Diamonds,Two
2221,Spades,King,Diamonds,Eight,Hearts,Eight,Spades,Two,Hearts,Six
2222,Clubs,Three,Diamonds,King,Diamonds,Ten,Clubs,Two,Hearts,Five
2223,Diamonds,Eight,Spades,Ten,Diamonds,Ten,Clubs,Eight,Diamonds,Nine
2224,Clubs,Nine,Spades,Four,Diamonds,Five,Clubs,Five,Diamonds,Eight
